"English" {
  "BUFF_SLOW_TRAINING" "slow training"
  "BUFF_SPEED" "speed"
  "BUFF_SPYING" "spying"
  "BUFF_STEED" "mounting"
  "BUFF_STUNNED" "stunning"
  "BUFF_SUMMONED" "time to live"
  "BUFF_SUNLIGHT_VULNERABLE" "sunlight vulnerability"
  "BUFF_SWARMER" "swarming"
  "BUFF_TELEPATHY" "telepathy"
  "BUFF_TURNED_OFF" "power off"
  "BUFF_UNSTABLE" "mental instability"
  "BUFF_WARNING" "warning"
  "BUG_REPORT_BUTTON" "Submit bug report"
  "BURNING_PARENS" "(burning)"
  "BURNS_TO_DEATH" "{1} burns to death."
  "CAN_BE_CONVERTED" "Can be converted to your side using torture."
  "CAN_CAST_SPELLS_AGAIN" "You can cast spells again!"
  "CANCEL_BUTTON" "Cancel"
  "CANT_AFFORD_ITEM_HINT" "Cannot afford item."
  "CANT_SEE_IN_THE_DARK" "{1} can't see in the dark anymore."
  "CANT_SEE_THRU_ARROWSLITS" "{1} can't see through arrowslits anymore."
  "CANT_SEE_THRU_TREES" "{1} can't see through trees anymore."
  "CANT_TRAVEL_WHILE_CARRYING_UNPAID" "You can't travel while carrying unpaid goods."
  "CHANGE_CAMPAIGN_MODE" "Change"
  "CHANGE_THE_NUMBER_OF_ITEMS" "Change the number of items."
  "CHATS_WITH" "{1} chats with {2}."
  "CIRCULAR_BLAST_EFFECT_DESCRIPTION" "Creates a circular blast of air that throws back creatures and items."
  "CIRCULAR_BLAST_EFFECT_NAME" "air blast"
  "CLAIMED_FLOOR" "Claimed floor"
  "CLAW" "You claw {1}."
  "CLAWS" "{1} claws {2}."
  "CLICK_ON_DEBT_BUTTON" "Click on debt or on individual buttons to pay."
  "CLICK_TO_ASSIGN_QUARTERS_LABEL" "Click to assign"
  "CLICK_TO_CHOOSE_COUNT" "Click to choose how many to pick up."
  "COMPANION_EFFECT_NAME" "companion"
  "CONCENTRATED" "concentrated"
  "CONSTRUCTIONS_LABEL" "Constructions"
  "CONTRIBUTES_TO_WORK_FORCE" "Contributes to workforce"
  "CONTROL_MINION_TO_COMMAND_TEAM" "Control a minion to command the team."
  "CONTROL_MODE_FULL" "Full Control"
  "CONTROL_MODE_LEADER" "Leader Control"
  "COVERS_HIS_NOSE" "{1} covers his nose."
  "CRACK_A_JOKE" "You crack a joke."
  "CRACK_A_JOKE_ABOUT" "You crack a joke about {1}."
  "CRACKS_A_JOKE" "{1} cracks a joke."
  "CRACKS_A_JOKE_ABOUT" "{1} cracks a joke about {2}."
  "CURED_FROM_PLAGUE" "cured from the plague"
  "CURED_FROM_POISONING" "cured from poisoning"
  "CURRENT_TURN" "Current turn."
  "CURSE" "You curse {1}."
  "CURSES" "{1} curses {2}."
  "DAME" "Dame"
  "DECEPTION_EFFECT_DESCRIPTION" "Creates multiple illusions to confuse the enemy."
  "DECEPTION_EFFECT_NAME" "deception"
  "DEVOTIONAL_MEDAL" "devotional medal"
  "DIES_OF_PLAGUE" "{1} dies of plague!"
  "DIRECTED_BLAST_EFFECT_DESCRIPTION" "Creates a directed blast of air that throws back creatures and items."
  "DIRECTED_BLAST_EFFECT_NAME" "directed blast"
  "DISBAND_TEAM_BUTTON" "Disband team"
  "DISMOUNT_ACTION" "Dismount"
  "DISMOUNTS" "{1} dismounts {2}."
  "DISPLAY_MESSAGE_HISTORY_PROMPT" "Display message history?"
  "DOESNT_LAUGH" "{1} doesn't laugh."
  "DONE_LABEL" "[done]"
  "DONT_LAUGH" "You don't laugh."
  "DRINKS" "{1} drinks {2}."
  "DROPS" "{1} drops {2}."
  "EAT_CORPSE_EFFECT_DESCRIPTION" "Creature will feast on a corpse."
  "EAT_CORPSE_EFFECT_NAME" "eat corpse"
  "EATS" "{1} eats {2}."
  "ENABLE_LABEL" "Enable"
  "ENABLE_ONLINE_SETTING" "Please enable online features in the settings."
  "ENEMY_PULLS_CREATURE" "{2} pulls {1}."
  "ENEMY_PULLS_YOU" "{1} pulls you!"
  "ENEMY_SWINGS_ITSELF_AROUND_CREATURE" "{2} swings itself around {1}."
  "ENEMY_SWINGS_ITSELF_AROUND_YOU" "{1} swings itself around you!"
  "ENTER_AMOUNT" "Enter amount"
  "ENTER_BUG_DESCRIPTION" "Enter bug description"
  "ENTER_ITEM_TYPE" "Enter item type"
  "ENTERS_PORTAL" "{1} disappears in the portal."
  "EQUIPMENT_DESTRUCTION_EFFECT_DESCRIPTION" "Destroys a random piece of equipment."
  "EQUIPMENT_DESTRUCTION_EFFECT_NAME" "equipment destruction"
  "EQUIPMENT_LABEL" "Equipment"
  "EQUIPS" "{1} equips {2}."
  "EXPERIENCE_EXPLANATION" "Experience increases every attribute that can be or has been trained. If the creature has no trainable attributes then damage and defense will be used by default. For example, Dumbug the goblin has a +1 training in archery, and a +3 training in melee. Having a +2 experience, his damage, defense and ranged damage are further increased by +2."
  "EXPERIENCE_LABEL" "Experience:"
  "EXTRA_INTRINSIC_ATTACK" "Extra attack in addition to wielded weapon"
  "EYE_BODY_PART" "eye"
  "FALLS_INTO" "{1} falls into the {2}."
  "FALLS_OFF" "{1} falls off {2}."
  "FALLS_ON_THE" "{1} falls on the {2}."
  "FANGS" "fangs"
  "FEELS_LIKE_CRACKING_A_JOKE" "{1} feels like cracking a joke."
  "FEMALE" "female"
  "FEMALES" "females"
  "FISTS" "fists"
  "FLOOR" "floor"
  "FOBIDDEN_ZONE_WARNING" "Walk into the forbidden zone?"
  "FULLY_MATERIALIZED" "fully materialized"
  "GENDERLESS" "genderless"
  "GIVES_ITEMS_TO" "{1} gives {2} to {3}."
  "GRANTS_YOU_A_WISH" "{1} grants you a wish."
  "GROUP_TAKES_ONE_POP" "The entire group takes up one population slot."
  "HAIKU" "haiku"
  "HEAD_BODY_PART" "head"
  "HEADS_BODY_PART" "heads"
  "HEALED_BY_RITUALS_HINT" "Can only be healed using rituals."
  "HEART" "heart"
  "HE_BUILDS" "{1} builds {2}."
  "HE_FILLS_UP_TUNNEL" "{1} fills up the tunnel."
  "HE_READS" "{1} reads {2}."
  "HERSELF" "herself"
  "HIDES_BEHIND_THE" "{1} hides behind the {2}."
  "HIM" "him"
  "HIMSELF" "himself"
  "HIS_BREATH_IS_FRESH_AGAIN" "{1} smells like flowers again."
  "HIS_BREATH_STINKS" "{1}'s breath stinks!"
  "HIS_CARRY_CAPACITY_INCREASES" "{1}'s carry capacity increases!"
  "HIS_CARRY_CAPACITY_IS_LIMITED_AGAIN" "{1}'s carry capacity is limited again."
  "HIS_INFECTION_SUBSIDES" "{1}'s infection subsides."
  "HIS_INTERNAL_ORGANS_ARE_CRUSHED" "{1}'s internal organs are crushed!"
  "HIS_INTERNAL_ORGANS_ARE_RIPPED_OUT" "{1}'s internal organs are ripped out!"
  "HIS_LIFE_WILL_BE_SAVED" "{1}'s life will be saved."
  "HIS_SPURS_STOP_SPINNING" "{1}'s spurs stop spinning."
  "HOSTILE_LABEL" "Hostile"
  "ICE_EFFECT_DESCRIPTION" "Freezes water and causes cold damage."
  "ICE_EFFECT_NAME" "ice"
  "IMMIGRANTS_LABEL" "immigrants"
  "INTRINSIC_ATTACKS_LABEL" "Intrinsic attacks"
  "IS_BLEEDING" "{1} is bleeding!"
  "IS_CAPTURED" "{1} is captured."
  "IS_DROWNED_BY" "{1} is drowned by {2}."
  "IS_EATEN_BY" "{1} is eaten by {2}."
  "IS_EXTINGUISHED" "{1}'s flames are extinguished."
  "IS_LESS_AWARE_OF_DANGER" "{1} is less aware of danger."
  "IS_LESS_PEACEFUL" "{1} is less peaceful."
  "IS_LESS_RESISTANT_TO_CAPTURING" "{1} is less resistant to capturing."
  "IS_MENTALLY_STABLE_AGAIN" "{1} is mentally stable again."
  "IS_MENTALLY_UNSTABLE" "{1} becomes mentally unstable."
  "IS_NO_LONGER_COVERED_IN_OIL" "{1} is no longer covered in oil."
  "IS_NO_LONGER_FROZEN" "{1} is no longer frozen."
  "IS_NO_LONGER_INVISIBLE" "{1} is no longer invisible."
  "IS_NO_LONGER_POISONED" "{1} is no longer poisoned."
  "IS_NO_LONGER_TELEPATHIC" "{1} is no longer telepathic."
  "IS_OFFENDED" "{1} is offended."
  "IS_SUCKED_INTO" "{1} is sucked into {2}."
  "IS_SUFFERING_FROM_POISONING" "{1} is suffering from poisoning."
  "ITEM_BURNING" "(burning)"
  "ITEM_EQUIPED" "Equipped."
  "ITEM_FROM_INGREDIENT" "from"
  "ITEM_MATERIAL_LABEL" "Material:"
  "ITEM_NOT_EQUIPED" "Not equipped yet."
  "ITEM_REQUIRES_SKILL_LEVEL" "Requires skill level:"
  "ITEM_REQUIRES_UPGRADES" "Item cannot be crafted without applied upgrades."
  "ITEM_UPGRADE_BUTTON" "upgrade"
  "JUMP_EFFECT_DESCRIPTION" "Jump!"
  "JUMP_EFFECT_NAME" "jump"
  "KICK" "You kick {1}."
  "KICKS" "{1} kicks {2}."
  "LARGER" "larger"
  "LAUGH" "You laugh."
  "LAUGHS" "{1} laughs."
  "LAZY" "lazy"
  "LEFT_TRIGGER_TO_CLEAR" "Left trigger to clear"
  "LIMERICK" "limerick"
  "LOCAL_DUNGEONS" "Local:"
  "LOCATE_MINION_BUTTON" "Locate"
  "LYING_HERE_LABEL" "Lying here:"
  "MALE" "male"
  "MALES" "males"
  "MELEE_AI_NAME" "Melee"
  "MINIONS_BY_ABILITY_LABEL" "Minions by ability:"
  "MORE_SKILLED" "more skilled"
  "MOVE_MAY_HARM_ALLIES" "This move may harm allies!"
  "MUSHROOM" "mushroom"
  "NEW_TEAM_BUTTON" "[new team]"
  "NEW_TEAM_BUTTON_HINT" "Drag and drop minions onto the [new team] button to create a new team. You can drag them both from the map and the menus."
  "NO_LONGER_AGGRAVATES_ENEMIES" "You no longer aggravate enemies."
  "NO_QUARTERS_ASSIGNED_YET" "No quarters assigned yet"
  "NORMAL_GAME_SPEED" "normal"
  "OBSCENE" "obscene"
  "ONE_ITEM_AVAILABLE" "(one item available)"
  "ONLINE_DUNGEONS" "Online:"
  "OPEN_WORLD_MAP_HINT" "Open world map."
  "OTHER_EQUIPMENT_LABEL" "Other"
  "OVERLOADED" "overloaded"
  "PAUSE_BUTTON" "pause"
  "PETS" "{1} pets {2}."
  "PHYLACTERY_EFFECT_DESCRIPTION" "Sets or uses a phylactery."
  "PHYLACTERY_EFFECT_NAME" "phylactery"
  "POTION" "potion"
  "PROJECTILES_WILL_HIT_ALLIES" "projectiles will hit allies."
  "PROMOTIONS_LABEL" "Promotions:"
  "PULL_EFFECT_DESCRIPTION" "Pulls a creature toward the caster."
  "PULL_EFFECT_NAME" "pull"
  "PUNCH" "You punch {1}."
  "PUNCHES" "{1} punches {2}."
  "PUTS_ON_SUNGLASSES" "{1} puts on {2} sunglasses."
  "QUARTERS_LABEL" "Quarters:"
  "QUARTERS_UNASSIGNED_LABEL" "Unassigned"
  "RANDOM_POLYMORPH_EFFECT_DESCRIPTION" "Polymorphs the creature into a random form."
  "REGAINS_SANITY" "{1} regains sanity."
  "REGROW_BODY_PART_EFFECT_DESCRIPTION" "Causes lost body parts to regrow."
  "REGROW_BODY_PART_EFFECT_NAME" "regrow body part"
  "REMOVES_SUNGLASSES" "{1} removes {2} sunglasses."
  "REQUIRES_ALLY_DISCOVERED_AND_HAVE_RECRUITS" "Ally must be discovered and have recruits available."
  "REROLL_MAP_BUTTON" "Reroll map"
  "RESEARCH_LABEL" "Research:"
  "RETURNS_TO_YOUR_PREVIOUS_FORM" "{1} returns to {2} previous form."
  "REVIVE_CORPSE_EFFECT_DESCRIPTION" "Reanimates a corpse as a servant."
  "REVIVE_CORPSE_EFFECT_NAME" "revive corpse"
  "RIDERS" "riders"
  "RIGHT_CLICK_TO_CLEAR" "Right-click to clear"
  "SCREAM" "You scream!"
  "SCREAMS" "{1} screams!"
  "SCROLL_ITEM" "scroll"
  "SCROLL_TO_KEEPER_HINT" "Scroll to your character."
  "SEARCH_DUNGEONS" "Search:"
  "SET_CURRENT_ACTIVITY_LABEL" "Set current activity"
  "SIRE" "Sire"
  "SONNET" "sonnet"
  "SPECIAL_CRAFTING_INGREDIENT" "Special crafting ingredient"
  "SPINE_BODY_PART" "spine"
  "SPINS_HIS_SPURS" "{1} spins {2} spurs."
  "SUBSCRIBED_DUNGEONS" "Subscribed:"
  "SUICIDE_EFFECT_DESCRIPTION" "Causes the attacker to die."
  "SUICIDE_EFFECT_NAME" "suicide"
  "SUNLIGHT_WARNING" "Walk into the sunlight?"
  "SURPRISE" "Surprise"
  "SWINGS" "{1} swings {2} {3} at {4}."
  "TEAMS_LABEL" "Teams:"
  "TECHNOLOGY_LABEL" "technology"
  "TELEPORT_EFFECT_DESCRIPTION" "Teleport to any nearby location."
  "TELEPORT_EFFECT_NAME" "teleport"
  "THE_KEEPER" "The Keeper"
  "THE_PRESENCE_OF_A_MAGICAL_FIELD" "the presence of a magical field"
  "THROWS" "{1} throws {2}."
  "THRUST" "You thrust your {1} at {2}."
  "THRUSTS" "{1} thrusts {2} {3} at {4}."
  "THRUSTS_ITSELF" "{1} thrusts itself at {2}."
  "THRUST_YOURSELF" "You thrust yourself at {1}."
  "TIME_REMAINING_TILL_DAY" "Time remaining till day."
  "TIME_REMAINING_TILL_NIGHTFALL" "Time remaining until nightfall:"
  "SUNLIGHT_INFO_DESCRIPTION_AND_TIMEOUT" "{1} [{2}]"
  "DAY" "day"
  "NIGHT" "night"
  "TORSO_BODY_PART" "torso"
  "TORSOS_BODY_PART" "torsos"
  "TOUCH" "You touch {1}."
  "TOUCHES" "{1} touches {2}."
  "TRANSFER_TASK" "Go to site"
  "TRAVEL_COMMAND_TIP" "Use the travel command while controlling a minion or team to travel to another site."
  "TUTORIAL_CONTINUE" "Continue"
  "TUTORIAL_GO_BACK" "Go back"
  "UNREALIZED_EXPERIENCE_LABEL" "Unrealized experience:"
  "UNRESTRICT_ALL_EQUIPMENT" "Unrestrict all"
  "UPGRADES_NEED_TO_BE_PLACED_IN_STORAGE" "Note that upgrades need to be in placed storage before they can be added."
  "UPLOAD_BUTTON" "Upload"
  "USED_WHEN_NO_WEAPON" "Used when no weapon equiped."
  "VILLAGE_ACTION_PILLAGE" "pillage"
  "VILLAGE_ACTION_TRADE" "trade"
  "VILLAIN_ATTACKING" "attacking"
  "VISUAL_EFFECT_DESCRIPTION" "Just a visual effect."
  "VISUAL_EFFECT_NAME" "visual effect"
  "VULGAR" "vulgar"
  "WAIT_HOW_MANY_TURNS" "Wait how many turns?"
  "WALKING_INTO_FIRE_WARNING" "Walking into fire or adjacent tiles is going harm you. Continue?"
  "WATER_VERY_DEEP_WARNING" "The water is very deep, are you sure?"
  "WAVES" "{1} waves {2} {3} at {4}."
  "WAVE" "You wave your {1} at {2}."
  "X_TO_CLEAR" "to clear"
  "YES_AND_DONT_ASK_FOR_50_TURNS" "Yes, and don't ask again for 50 turns."
  "YOU_AFRAID" "You are suddenly very afraid"
  "YOU_AGGRAVATE_ENEMIES" "You aggravate enemies."
  "YOU_ANGRY" "You are suddenly very angry!"
  "YOU_ANGRY_HALLU" "This will be a very long trip."
  "YOU_APPLY" "You apply {1}."
  "YOU_ARE_BURNING" "You are burning!"
  "YOU_ARE_CARRYING_TOO_MUCH" "You are carrying too much to pick this up."
  "YOU_ARE_EATEN_BY" "You are eaten by {1}!"
  "YOU_ARE_EXTINGUISHED" "Your flames are extinguished."
  "YOU_ARE_LESS_AWARE_OF_DANGER" "You are less aware of danger."
  "YOU_ARE_LESS_PEACEFUL" "You are less peaceful."
  "YOU_ARE_LESS_RESISTANT_TO_CAPTURING" "You are less resistant to capturing."
  "YOU_ARE_MENTALLY_STABLE_AGAIN" "You feel mentally stable again."
  "YOU_ARE_MENTALLY_UNSTABLE" "You feel mentally unstable!"
  "YOU_ARE_NO_LONGER_COVERED_IN_OIL" "You are no longer covered in oil."
  "YOU_ARE_NO_LONGER_FROZEN" "You thaw."
  "YOU_ARE_NO_LONGER_POISONED" "You are no longer poisoned."
  "YOU_ARE_NO_LONGER_TELEPATHIC" "You are no longer telepathic."
  "YOU_ARE_STANDING_SOMEWHERE_ELSE" "You find yourself standing somewhere else!"
  "YOU_BURN_TO_DEATH" "You burn to death!"
  "YOU_CAN_CAST_SPELLS_AGAIN" "You can cast spells again!"
  "YOU_CAN_SEE_IN_THE_DARK" "You can now see in the dark!"
  "YOU_CAN_SEE_THRU_ARROWSLITS" "You can see and shoot through arrowslits!"
  "YOU_CAN_SEE_THRU_TREES" "You can see through trees!"
  "YOU_CANT_PICK_UP_ANYTHING" "You can't pick up anything!"
  "YOU_CANT_REMOVE_THIS_ITEM" "You cannot remove this item."
  "YOU_CANT_SEE_IN_THE_DARK" "You can't see in the dark anymore."
  "YOU_CANT_SEE_THRU_ARROWSLITS" "You can't see through arrowslits anymore."
  "YOU_CANT_SEE_THRU_TREES" "You can't see through trees anymore."
  "YOU_CANT_TRAVEL_WHILE_POISONED" "You can't travel while poisoned!"
  "YOU_CANT_USE_THIS_ITEM" "You can't use this item."
  "YOU_CAPTURED" "You are captured!"
  "YOU_CHAT_WITH" "You chat with {1}."
  "YOU_COLLAPSE" "You collapse!"
  "YOU_COVER_YOUR_NOSE" "You cover your nose."
  "YOU_DIE_OF_PLAGUE" "You die of plague!"
  "YOU_DISMOUNT" "You dismount {1}."
  "YOU_DONT_HAVE_THIS_SKILL" "You don't have this skill."
  "YOU_DONT_KNOW_HOW_TO_LEAVE" "You don't know how to leave this area."
  "YOU_DRINK" "You drink {1}."
  "YOU_ENTER_PORTAL" "You enter the portal."
  "YOU_EQUIP" "You equip {1}."
  "YOU_FALL_ASLEEP" "You fall asleep."
  "YOU_FALL_ASLEEP_IN" "You fall asleep on the {1}."
  "YOU_FALL_OFF" "You fall off {1}!"
  "YOU_FALL_ON_THE" "You fall on the {1}!"
  "YOU_FEEL_LIKE_A_DANCING_FOOL" "You feel like a dancing fool!"
  "YOU_FREAK_OUT" "You freak out!"
  "YOU_GIVE_ITEM_TO" "You give {1} to {2}."
  "YOU_HAVE_NO_HEALTHY_ARMS" "You have no healthy arms!"
  "YOU_HEAR_A_LOUD_SPLASH" "You hear a loud splash."
  "YOU_HEAR_HORRIBLE_SCREAM" "You hear a horrible scream!"
  "YOU_HEAR_SNORING" "You hear snoring."
  "YOU_HEAR_SOMEONE_BURNING" "You hear a horrible scream!"
  "YOU_HEAR_SOMEONE_DROWNING" "You hear a loud splash."
  "YOU_NO_LONGER_AGGRAVATE_ENEMIES" "You no longer aggravate enemies."
  "YOU_NO_LONGER_INVISIBLE" "You are no longer invisible."
  "YOU_PET" "You pet {1}."
  "YOU_PUT_ON_SUNGLASSES" "You put on your sunglasses."
  "YOUR_BREATH_IS_FRESH_AGAIN" "You smell like flowers again."
  "YOUR_BREATH_STINKS" "Your breath stinks!"
  "YOUR_CARRY_CAPACITY_INCREASES" "Your carry capacity increases!"
  "YOUR_CARRY_CAPACITY_IS_LIMITED_AGAIN" "Your carry capacity is limited again."
  "YOU_READ" "You read {1}."
  "YOU_REGAIN_CONSIOUSNESS" "You regain consciousness."
  "YOU_REGAIN_SANITY" "You regain sanity."
  "YOU_REMOVE_SUNGLASSES" "You remove your sunglasses."
  "YOU_RETURN_TO_YOUR_PREVIOUS_FORM" "You return to your previous form."
  "YOUR_INFECTION_SUBSIDES" "Your infection subsides."
  "YOUR_LIFE_WILL_BE_SAVED" "Your life will be saved."
  "YOUR_SPURS_STOP_SPINNING" "Your spurs stop spinning."
  "YOU_SHATTER" "You shatter into a thousand pieces!"
  "SHATTERS" "{1} shatters into a thousand pieces!"
  "YOU_SPIN_YOUR_SPURS" "You spin your spurs."
  "YOU_SQUASHED_BY" "You are squashed by {1}!"
  "YOU_STOP_BURNING" "You stop burning."
  "YOU_THROW" "You throw {1}."
  "YOU_TRIGGER_SOMETHING" "You trigger something."
  "YOU_WAKE_UP" "You wake up!"
  "PARENTHESES" "({1})"
  "SPACE" "{1} {2}"
  "AND" "{1} and {2}"
  "BODY_SIZE_AND_MATERIAL_AND_LIMBS" "{1} and made of {2} with {3}."
  "BODY_SIZE_AND_MATERIAL" "{1} and made of {2}."
  "BUFF_DESC_PREGNANT" "This is no dream! This is really happening!"
  "BUFF_DESC_SLOWED" "Causes unnaturally slow movement."
  "BUFF_DESC_SPEED" "Grants an extra move every turn."
  "BUFF_DESC_BLIND" "Causes blindness"
  "BUFF_DESC_INVISIBLE" "Makes you invisible to enemies."
  "BUFF_DESC_PLAGUE" "Decreases health every turn when it's above 50%. A small percent of creatures can die, others don't suffer from health loss."
  "BUFF_DESC_PLAGUE_RESISTANT" "Protects from plague infection."
  "BUFF_DESC_POISON" "Decreases health every turn by a little bit."
  "BUFF_DESC_POISON_RESISTANT" "Gives poison resistance."
  "BUFF_DESC_FLYING" "Causes levitation."
  "BUFF_DESC_COLLAPSED" "Moving across tiles takes three times longer."
  "BUFF_DESC_PANIC" "Increases defense and lowers damage."
  "BUFF_DESC_RAGE" "Increases damage and lowers defense."
  "BUFF_DESC_HALLU" "Causes hallucinations."
  "BUFF_DESC_SLEEP_RESISTANT" "Prevents being put to sleep."
  "BUFF_DESC_SLEEP" "Puts to sleep."
  "BUFF_DESC_IMMOBILE" "Creature does not move."
  "BUFF_DESC_TIED_UP" "web"
  "BUFF_DESC_ENTANGLED" "web"
  "BUFF_DESC_STUNNED" "Allows enslaving as a prisoner, otherwise creature will die."
  "BUFF_DESC_INSANITY" "Makes the target hostile to every creature."
  "BUFF_DESC_PEACEFULNESS" "Makes the target friendly to every creature."
  "BUFF_DESC_CAPTURE_RESISTANCE" "Increases defense by 30% when capture order is placed."
  "BUFF_DESC_DARKNESS_SOURCE" "Causes the closest vicinity to become dark. Protects undead from sunlight."
  "BUFF_DESC_LIGHT_SOURCE" "Casts light on the closest surroundings."
  "BUFF_DESC_NIGHT_VISION" "Gives vision in the dark at full distance."
  "BUFF_DESC_ELF_VISION" "Allows to see and shoot through trees."
  "BUFF_DESC_ARCHER_VISION" "Allows to see and shoot through arrowslits."
  "BUFF_DESC_WARNING" "Warns about dangerous enemies and traps."
  "BUFF_DESC_TELEPATHY" "Allows you to detect other creatures with brains."
  "BUFF_DESC_SUNLIGHT_VULNERABLE" "Sunlight makes your body crumble to dust."
  "BUFF_DESC_SATIATED" "Increases morale and improves defense by +1."
  "BUFF_DESC_RESTED" "Increases morale and improves defense by +1."
  "BUFF_DESC_SUMMONED" "Will disappear after the given number of turns."
  "BUFF_DESC_FAST_CRAFTING" "Increases crafting speed."
  "BUFF_DESC_FAST_TRAINING" "Increases training and studying speed."
  "BUFF_DESC_SLOW_CRAFTING" "Decreases crafting speed."
  "BUFF_DESC_SLOW_TRAINING" "Decreases training and studying speed."
  "BUFF_DESC_ENTERTAINER" "Makes jokes, increasing morale of nearby creatures."
  "BUFF_DESC_BAD_BREATH" "Decreases morale of all nearby creatures."
  "BUFF_DESC_ON_FIRE" "The creature is burning alive."
  "BUFF_DESC_FROZEN" "The creature is frozen and cannot move."
  "BUFF_DESC_MAGIC_CANCELLATION" "Prevents from casting any spells."
  "BUFF_DESC_DISAPPEAR_DURING_DAY" "This creature is only active at night and disappears at dawn."
  "BUFF_DESC_NO_CARRY_LIMIT" "The creature can carry items without any weight limit."
  "BUFF_DESC_SPYING" "The creature can infiltrate enemy lines."
  "BUFF_DESC_LIFE_SAVED" "Prevents the death of the creature."
  "BUFF_DESC_UNSTABLE" "Creature may become insane after witnessing the death of an ally."
  "BUFF_DESC_OIL" "Creature is covered in oil and may be set on fire."
  "BUFF_DESC_SWARMER" "Grants damage and defense bonus for every other swarmer in vicinity."
  "BUFF_DESC_PSYCHIATRY" "Creature won't be attacked by insane creatures."
  "BUFF_DESC_TURNED_OFF" "Creature requires more automaton engines built."
  "BUFF_DESC_DRUNK" "Compromises fighting abilities."
  "BUFF_DESC_NO_FRIENDLY_FIRE" "Arrows and other projectiles bypass allies and only hit enemies."
  "BUFF_DESC_POLYMORPHED" "Creature will revert to original form."
  "BUFF_DESC_AGGRAVATES" "Makes enemies more aggressive and more likely to attack the base."
  "BUFF_DESC_CAN_DANCE" "Can dance all night long."
  "BUFF_DESC_STEED" "Can carry a rider."
  "BUFF_DESC_RIDER" "Can ride a steed."
  "BUFF_DESC_LOCKED_POSITION" "Creatures can't swap position with this automaton."
  "CANT_CAST_SPELLS_BECAUSE_OF" "You can't cast spells while under the effect of {1}."
  "FLIES_AWAY" "{1} flies away."
  "ITEM_TOO_HEAVY" "{1} is too heavy!"
  "OBJECT_CRASHES_ON" "{1} crashes on {2}."
  "PLURAL_ITEMS_A" "{2} {1}"
  "PLURAL_ITEMS_THE" "{2} {1}"
  "REACHES_EXP_LEVEL" "{1} reaches experience level {2}."
  "SPECIAL_ATTR_ADJECTIVE" "{1} {2} {3}"
  "TORTURES" "{1} tortures {2}."
  "WHIPS" "{1} whips {2}."
  "YOU_ARE_TOO_SMALL_TO_PUSH" "You are too small to push {1}."
  "YOU_NEED_TO_HANDS_TO_WIELD" "You need two hands to wield {1}!"
  "CREATURE_GROUP" "{1} of {3} {2}"
  "AGAINST" "against {1}"
  "CREATURES_WITH_AT_LEAST_X_KILLS" "creatures with at least {1} kills"
  "CREATURES_WITH_ATTR_AT_LEAST" "creatures with at least {1} {2}"
  "CREATURES_WITH_MAX_TRAINING_LEVEL_BELOW" "creatures with max training level below {1}"
  "ADD_INTRINSIC_ATTACK_EFFECT_DESCRIPTION" "Adds an extra {1} attack"
  "ADD_INTRINSIC_ATTACK_EFFECT_NAME" "extra {1} attack"
  "AREA_EFFECT_DESCRIPTION" "Area effect of radius {1}: {2}"
  "AREA_EFFECT_NAME" "Area effect: {1}"
  "A_TRAP_IS_TRIGGERED" "A {1} trap is triggered"
  "BUFF_EFFECT_DESCRIPTION" "{1} for {2} turns."
  "COMPANION_EFFECT_DESCRIPTION" "Grants a permanent {1} companion"
  "CUSTOM_AREA_EFFECT_DESCRIPTION" "Custom area effect: {1}"
  "CUSTOM_AREA_EFFECT_NAME" "Custom area: {1}"
  "DAMAGE_EFFECT_DESCRIPTION" "Causes {1}"
  "EMIT_GAS_DESCRIPTION" "Emits {1}"
  "EXTRA_BODY_PART_EFFECT_DESCRIPTION" "Adds a {1}"
  "EXTRA_BODY_PART_EFFECT_NAME" "extra {1}"
  "EXTRA_BODY_PARTS_EFFECT_DESCRIPTION" "Adds {1}"
  "EXTRA_BODY_PARTS_EFFECT_NAME" "extra {1}"
  "FIXED_DAMAGE_EFFECT_DESCRIPTION" "Causes {2} {1}"
  "FIXED_DAMAGE_EFFECT_NAME" "{2} {1}"
  "INJURE_BODY_PART_EFFECT_DESCRIPTION" "Injures {1}"
  "INJURE_BODY_PART_EFFECT_NAME" "injure {1}"
  "LOSE_BODY_PART_EFFECT_DESCRIPTION" "Causes you to lose a {1}"
  "LOSE_BODY_PART_EFFECT_NAME" "lose {1}"
  "REMOVE_ABILITY_EFFECT_DESCRIPTION" "Removes ability: {1}"
  "REMOVE_ABILITY_EFFECT_NAME" "remove {1}"
  "REMOVE_BUFF_DESCRIPTION" "Removes/cures from {1}"
  "REMOVE_BUFF_NAME" "remove {1}"
  "SPELL_SCHOOL_EFFECT_DESCRIPTION" "Grants the {1} spell school"
  "SPELL_SCHOOL_EFFECT_NAME" "Grant {1} spell school"
  "TECH_EFFECT_DESCRIPTION" "Provides {1}"
  "YOU_ARE_GRANTED_A_WISH" "You are granted a wish!"
  "YOU_CANT_SWAP_POSITION_WITH" "You can't swap position with {1}"
  "OBJECT_FILLS_HOLE" "{1} fills the {2}."
  "STATUE_OF_SAINT" "{1} of Saint {2}"
  "ACHIEVEMENT_UNLOCKED" "Achievement unlocked: {1}"
  "AND_SO_DIES" "And so dies {1}."
  "AND_SO_DIES_OF_REASON" "And so dies {1}, {2}."
